sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_KHI_IND_01,Karachi,industrial,112.79,133.57,763.02,45.0,25.13,14.02,180.6,UNHEALTHY,2026-07-11T19:03:32.936083+00:00
PKS_KHI_TRF_02,Karachi,traffic,66.99,81.11,547.92,39.56,44.59,54.18,156.9,UNHEALTHY,2026-07-11T19:03:32.936722+00:00
PKS_LHR_RES_01,Lahore,residential,149.29,154.6,469.03,29.41,73.82,31.01,199.4,UNHEALTHY,2026-07-11T19:03:32.936860+00:00
PKS_LHR_IND_02,Lahore,industrial,110.25,152.53,810.67,35.95,64.43,28.04,179.3,UNHEALTHY,2026-07-11T19:03:32.936947+00:00
PKS_ISB_PRK_01,Islamabad,park,48.82,89.12,467.25,34.48,54.16,40.53,133.8,UNHEALTHY,2026-07-11T19:03:32.937016+00:00
PKS_ISB_TRF_02,Islamabad,traffic,72.64,112.86,652.57,36.09,28.98,34.5,159.8,UNHEALTHY,2026-07-11T19:03:32.937076+00:00
PKS_PEW_IND_01,Peshawar,industrial,78.24,124.73,654.32,34.77,32.41,33.75,162.7,UNHEALTHY,2026-07-11T19:03:32.937139+00:00
PKS_PEW_RES_02,Peshawar,residential,34.46,63.44,450.75,32.5,39.47,58.45,98.0,MODERATE,2026-07-11T19:03:32.937251+00:00
PKS_MUL_TRF_01,Multan,traffic,64.88,80.91,632.82,27.38,43.28,39.17,155.8,UNHEALTHY,2026-07-11T19:03:32.937310+00:00
PKS_MUL_PRK_02,Multan,park,12.38,55.07,400.0,25.94,85.23,31.5,51.6,MODERATE,2026-07-11T19:03:32.937368+00:00
PKS_KHI_IND_01,Karachi,industrial,102.13,139.2,707.24,35.39,73.35,46.21,175.1,UNHEALTHY,2026-07-11T19:03:42.944055+00:00
PKS_KHI_TRF_02,Karachi,traffic,248.23,287.52,534.26,33.84,73.48,26.25,297.9,HAZARDOUS,2026-07-11T19:03:42.944406+00:00
PKS_LHR_RES_01,Lahore,residential,37.02,59.77,420.67,34.83,35.29,52.53,104.7,UNHEALTHY,2026-07-11T19:03:42.944750+00:00
PKS_LHR_IND_02,Lahore,industrial,121.99,155.98,1053.07,38.09,87.68,9.83,185.3,UNHEALTHY,2026-07-11T19:03:42.944953+00:00
PKS_ISB_PRK_01,Islamabad,park,18.05,65.41,514.48,29.92,43.28,56.23,63.5,MODERATE,2026-07-11T19:03:42.945115+00:00
PKS_ISB_TRF_02,Islamabad,traffic,84.34,109.32,622.53,27.25,34.85,39.98,165.9,UNHEALTHY,2026-07-11T19:03:42.945254+00:00
PKS_PEW_IND_01,Peshawar,industrial,122.12,171.14,570.44,26.8,16.37,13.92,185.4,UNHEALTHY,2026-07-11T19:03:42.945334+00:00
PKS_PEW_RES_02,Peshawar,residential,34.15,72.52,538.88,24.23,61.53,9.94,97.4,MODERATE,2026-07-11T19:03:42.945510+00:00
PKS_MUL_TRF_01,Multan,traffic,172.29,184.77,581.13,24.6,29.8,5.37,222.6,HAZARDOUS,2026-07-11T19:03:42.945608+00:00
PKS_MUL_PRK_02,Multan,park,9.84,32.21,422.7,29.26,29.56,25.76,41.0,GOOD,2026-07-11T19:03:42.945670+00:00
PKS_KHI_IND_01,Karachi,industrial,99.12,117.93,926.36,40.63,46.65,37.74,173.5,UNHEALTHY,2026-07-11T19:03:52.956721+00:00
PKS_KHI_TRF_02,Karachi,traffic,68.81,94.16,569.01,32.69,68.71,34.46,157.9,UNHEALTHY,2026-07-11T19:03:52.956889+00:00
PKS_LHR_RES_01,Lahore,residential,105.95,130.59,417.6,35.35,85.46,35.79,177.1,UNHEALTHY,2026-07-11T19:03:52.957008+00:00
PKS_LHR_IND_02,Lahore,industrial,113.0,137.78,725.06,40.71,20.14,17.28,180.7,UNHEALTHY,2026-07-11T19:03:52.957070+00:00
PKS_ISB_PRK_01,Islamabad,park,9.92,45.36,467.88,27.72,69.35,34.08,41.3,GOOD,2026-07-11T19:03:52.957121+00:00
PKS_ISB_TRF_02,Islamabad,traffic,73.23,115.64,764.99,32.28,86.0,15.24,160.2,UNHEALTHY,2026-07-11T19:03:52.957192+00:00
PKS_PEW_IND_01,Peshawar,industrial,129.26,158.8,828.85,36.08,22.43,26.72,189.1,UNHEALTHY,2026-07-11T19:03:52.957288+00:00
PKS_PEW_RES_02,Peshawar,residential,29.47,36.18,475.16,38.57,72.36,51.75,87.5,MODERATE,2026-07-11T19:03:52.957349+00:00
PKS_MUL_TRF_01,Multan,traffic,61.11,108.29,747.62,37.02,68.09,28.74,153.9,UNHEALTHY,2026-07-11T19:03:52.957399+00:00
PKS_MUL_PRK_02,Multan,park,18.01,51.12,410.74,33.15,35.27,58.09,63.4,MODERATE,2026-07-11T19:03:52.957447+00:00
PKS_KHI_IND_01,Karachi,industrial,112.38,137.61,736.25,33.53,31.4,42.52,180.4,UNHEALTHY,2026-07-11T19:04:02.967962+00:00
PKS_KHI_TRF_02,Karachi,traffic,239.68,249.55,697.85,32.32,12.17,57.15,289.4,HAZARDOUS,2026-07-11T19:04:02.968126+00:00
PKS_LHR_RES_01,Lahore,residential,47.94,88.16,437.88,24.1,45.42,49.33,131.6,UNHEALTHY,2026-07-11T19:04:02.968193+00:00
PKS_LHR_IND_02,Lahore,industrial,130.52,161.71,926.41,31.62,67.53,12.4,189.7,UNHEALTHY,2026-07-11T19:04:02.968251+00:00
PKS_ISB_PRK_01,Islamabad,park,28.61,50.83,410.97,23.76,37.15,21.07,85.7,MODERATE,2026-07-11T19:04:02.968305+00:00
PKS_ISB_TRF_02,Islamabad,traffic,61.43,77.1,550.34,29.25,76.04,6.12,154.1,UNHEALTHY,2026-07-11T19:04:02.968360+00:00
PKS_PEW_IND_01,Peshawar,industrial,122.84,161.31,814.53,33.85,19.67,25.66,185.8,UNHEALTHY,2026-07-11T19:04:02.968413+00:00
PKS_PEW_RES_02,Peshawar,residential,43.78,84.27,489.68,35.23,19.45,9.65,121.4,UNHEALTHY,2026-07-11T19:04:02.968468+00:00
PKS_MUL_TRF_01,Multan,traffic,76.69,82.76,597.12,42.0,24.7,25.38,161.9,UNHEALTHY,2026-07-11T19:04:02.968519+00:00
